x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
2,0,1,2,3,3,3,1,2,1,2,1,-0.5400662794919292,4270
3,2,1,3,3,1,3,1,3,0,0,1,-0.5490812095500955,4279
3,3,1,3,0,1,2,0,0,0,1,2,-0.5400662794919292,4287
2,3,1,0,0,1,0,3,2,1,3,1,-0.8075949294340148,4296
0,1,0,0,3,1,0,2,1,2,3,2,-0.5400662794919292,4304
3,2,1,2,2,0,3,0,2,1,2,2,-0.7368568629773994,4313
3,1,0,3,2,2,1,1,2,1,0,2,-0.727841932919233,4321
3,0,0,0,1,3,0,3,1,3,1,0,-0.343275696006459,4330
0,3,3,3,3,2,1,2,2,2,0,0,-0.5400662794919292,4338
1,3,3,0,0,1,1,2,2,2,1,2,-0.5490812095500955,4347
0,0,2,0,1,3,0,2,2,2,3,1,-0.5400662794919292,4355
3,1,0,2,0,3,3,1,0,0,1,3,-0.5310513494337629,4363
3,0,2,1,1,3,1,3,3,0,2,1,-1.0661086493179344,4372
2,1,1,2,0,1,2,3,0,3,1,0,-0.27253762954984356,4381
3,3,2,0,2,3,1,2,0,2,0,2,-0.5490812095500955,4389
1,3,0,0,0,0,2,1,3,0,3,1,-0.5400662794919292,4397
0,3,1,0,1,2,1,1,0,0,3,2,-0.343275696006459,4405
3,0,2,3,1,0,1,3,0,1,3,1,-0.5400662794919292,4413
3,0,0,2,2,0,1,0,1,0,2,0,-0.2725376295498433,4421
1,2,1,0,0,3,0,2,1,1,3,3,-0.5400662794919292,4430
0,0,0,0,0,0,1,0,0,0,0,0,-1.0661086493179344,5095
0,3,1,0,0,0,3,0,0,1,0,1,-1.0661086493179344,5731
1,3,3,1,3,0,0,3,3,1,0,0,-0.27253762954984356,5845
0,0,1,0,0,0,3,0,0,0,0,1,-1.0661086493179344,6464
0,0,2,0,0,2,0,0,0,0,0,0,-0.5490812095500952,7089
0,0,3,2,1,2,3,3,1,3,0,2,-0.343275696006459,7201
0,0,1,0,0,2,1,1,0,0,0,0,-0.5490812095500952,7820
0,2,1,1,0,0,3,0,0,0,3,0,-0.5490812095500952,8430
3,3,3,3,0,0,0,3,2,3,1,3,-0.3342607659482927,8546
0,1,1,2,3,0,0,1,0,1,0,0,-0.5400662794919292,9147
0,0,3,0,0,2,1,2,0,3,0,1,-0.8075949294340148,9798
1,1,1,0,0,0,3,0,0,0,0,1,-0.5400662794919292,10397
0,0,1,0,0,0,0,0,0,0,2,1,-1.0661086493179344,11022
0,0,1,1,0,0,1,0,1,2,1,1,-0.2725376295498433,11630
0,1,1,0,0,0,2,0,0,1,1,1,-0.5490812095500952,12277
0,0,0,2,1,0,2,1,2,0,0,2,-0.35229062606462536,12390
0,0,0,0,0,0,1,0,0,0,0,2,-1.0661086493179344,13029
0,1,0,0,0,0,0,0,0,0,2,1,-0.8075949294340148,13676
0,0,1,1,0,0,1,0,0,0,2,1,-1.0661086493179344,14303
0,0,1,0,0,0,1,0,0,0,1,1,-1.0661086493179344,14961
0,1,3,2,1,1,0,3,2,1,3,1,-0.7368568629773994,15077
0,0,0,0,0,0,3,0,0,1,1,0,-0.8075949294340148,15728
0,0,0,3,0,0,0,0,0,0,0,1,-1.0661086493179344,16321
0,3,0,2,0,0,3,0,0,1,0,1,-0.5490812095500952,16975
0,0,1,0,0,0,3,0,0,0,0,3,-1.0661086493179344,17611
1,2,0,2,0,0,1,0,0,1,1,0,-0.7368568629773994,17725
0,0,0,3,0,0,3,0,0,0,2,3,-1.0661086493179344,18344
0,3,1,3,0,0,3,0,0,1,2,2,-0.8075949294340148,19000
3,1,0,0,1,2,1,0,3,3,2,3,-0.2725376295498433,19119
0,3,2,1,2,2,0,3,2,3,3,0,-1.0661086493179344,19771
0,3,3,0,2,2,1,2,2,3,3,0,-0.5490812095500952,20427
1,2,3,0,3,2,3,3,1,2,1,1,-0.5400662794919292,21045
0,0,0,3,0,0,2,0,0,0,0,0,-1.0661086493179344,21672
0,0,1,3,0,0,0,0,0,0,0,0,-1.0661086493179344,22327
2,0,1,3,2,3,1,2,0,3,1,3,-1.0661086493179344,22989
2,0,2,1,1,3,2,2,0,2,0,1,-0.5400662794919292,23667
0,0,2,3,0,0,1,0,0,0,2,2,-1.0661086493179344,24314
2,0,2,3,2,3,1,2,0,3,2,3,-1.0661086493179344,24947
2,0,1,3,2,3,0,3,0,3,0,3,-0.8075949294340148,25648
0,0,3,0,0,0,1,0,0,0,2,3,-1.0661086493179344,26301
0,2,0,0,1,1,2,2,3,1,1,1,-1.0661086493179344,26901
0,2,3,1,0,1,3,3,1,3,0,3,-0.7368568629773994,27024
0,3,2,1,2,1,0,2,2,3,3,0,-0.8075949294340148,27687
2,0,2,2,2,3,1,2,0,3,1,3,-1.0661086493179344,28299
0,1,0,2,3,2,2,0,1,3,3,1,-0.5490812095500958,28426
0,0,2,2,3,3,1,2,0,3,1,3,-0.2725376295498433,29088
2,0,1,3,1,3,1,2,0,3,2,3,-0.8075949294340151,29701
0,3,2,1,0,1,0,3,3,3,3,0,-0.8075949294340151,30327
0,2,0,0,1,1,2,2,3,1,0,1,-1.0661086493179344,30962
2,0,1,0,0,0,1,0,0,0,2,2,-0.5490812095500958,31636
2,0,1,3,2,2,2,0,0,2,3,3,-0.5490812095500952,32273
3,0,0,0,1,3,1,3,3,0,2,2,0.004005950450408635,32924
0,0,3,2,0,0,0,0,0,0,0,2,-1.0661086493179344,33582
3,0,2,0,2,2,1,2,0,0,3,3,-0.8075949294340151,33701
2,1,1,2,0,1,3,0,0,0,2,0,-0.5490812095500958,33820
3,0,2,3,2,3,1,2,0,3,3,0,-0.727841932919233,34477
0,0,0,3,0,0,0,1,0,0,0,3,-1.0661086493179344,35098
0,0,2,0,0,0,2,1,0,0,0,0,-1.0661086493179344,35733
0,0,3,0,0,0,1,1,0,0,0,0,-1.0661086493179344,36399
1,0,2,0,2,3,1,3,0,3,1,3,-0.5400662794919292,37034
0,0,0,0,0,0,1,2,0,0,0,1,-1.0661086493179344,37712
0,2,0,0,2,1,2,2,3,1,0,1,-0.8075949294340151,38328
1,3,0,0,1,1,0,2,3,1,2,1,-0.5400662794919292,38985
2,0,0,3,2,3,1,2,0,3,1,3,-1.0661086493179344,39643
2,1,1,3,1,1,3,1,1,2,0,3,-0.5400662794919292,39764
3,2,0,3,1,0,3,2,0,3,3,1,-0.5490812095500955,39885
2,0,2,3,3,3,1,2,0,3,2,3,-0.8075949294340151,40495
2,0,1,2,2,3,1,2,0,3,0,3,-1.0661086493179344,41131
0,3,0,0,1,1,2,2,3,3,1,1,-0.7458717930355657,41762
3,0,0,3,2,3,1,1,0,3,1,3,-0.5400662794919292,42401
1,0,2,3,0,0,1,2,0,0,0,0,-0.8075949294340151,43098
2,0,1,3,2,3,1,2,0,2,1,3,-0.8075949294340148,43765
3,1,3,3,0,0,2,2,1,1,3,0,-0.5400662794919292,43891
0,2,1,0,1,1,2,3,3,2,1,1,-0.5400662794919292,44517
2,0,0,0,2,3,1,2,0,3,2,3,-1.0661086493179344,45141
0,0,0,0,2,0,0,0,0,0,0,1,0.004005950450408635,45780
0,2,0,0,0,0,3,2,3,1,3,1,-0.5400662794919292,46456
2,0,0,0,2,3,1,2,0,3,0,2,-1.0661086493179344,47113
2,0,1,1,2,2,1,2,0,3,0,3,-0.8075949294340148,47813
0,3,0,0,1,2,2,2,3,1,2,1,-1.0661086493179344,48438
0,0,0,0,0,0,0,0,0,0,2,0,-1.0661086493179344,49104
0,0,2,0,0,0,3,3,0,0,0,0,-1.0661086493179344,49783
3,0,2,0,1,3,1,3,3,0,2,2,-1.0661086493179344,50433
3,0,2,0,1,3,0,3,3,0,2,2,-0.8075949294340151,51090
2,0,0,0,3,3,1,2,0,3,3,2,-0.8075949294340151,51758
0,0,1,0,0,0,1,3,0,0,0,3,-1.0661086493179344,52415
1,3,3,2,1,0,3,0,1,3,2,3,-1.0661086493179344,53057
1,3,0,2,2,1,0,2,0,2,3,1,-0.7458717930355657,53182
1,3,3,2,2,0,3,0,1,3,0,3,-1.0661086493179344,53850
1,3,3,0,1,0,3,0,1,2,0,3,-0.8075949294340148,54524
0,2,0,1,1,1,2,2,3,1,2,1,-1.0661086493179344,55149
1,2,3,3,3,2,3,2,2,0,3,2,-0.5400662794919292,55277
1,3,3,3,3,0,3,0,1,3,3,3,-0.8075949294340148,55954
2,0,0,3,2,3,1,2,0,3,2,2,-1.0661086493179344,56623
0,2,0,1,1,1,0,2,2,0,3,0,-0.5400662794919292,57301
0,0,2,0,0,0,1,3,0,0,2,0,-1.0661086493179344,57971
3,3,2,3,2,3,1,3,3,1,0,0,-0.5400662794919292,58101
0,0,1,1,0,0,0,0,0,0,3,0,-1.0661086493179344,58767
0,0,3,3,0,0,0,3,0,0,0,3,-1.0661086493179344,59406
1,3,3,3,2,0,3,0,1,3,0,3,-0.8075949294340148,60082
1,3,2,2,2,0,3,0,1,3,2,3,-0.8075949294340151,60730
0,2,0,0,0,2,2,2,0,1,2,1,-0.8075949294340148,61399
0,2,0,0,1,1,3,2,3,1,2,1,-0.8075949294340151,62048
0,0,0,0,0,0,2,3,0,0,3,2,-1.0661086493179344,62687
2,0,0,3,2,3,2,2,0,3,3,3,-1.0661086493179344,63329
