x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
2,3,3,3,2,1,0,3,2,0,2,3,3,0,2,1,-6.38571060954782,24307
2,2,3,1,2,1,0,2,1,0,0,3,1,1,3,0,-5.223170032027228,24999
2,3,3,3,2,2,0,2,2,1,2,3,3,0,0,1,-6.151088682328938,25715
3,2,1,3,3,3,2,0,0,0,2,2,3,1,3,2,-5.187897045119056,25766
2,3,3,0,2,1,0,2,2,0,1,3,1,0,3,0,-6.722883655264072,26436
2,3,3,3,2,1,0,0,2,0,1,3,1,0,3,0,-5.678641246706134,27115
2,2,3,3,2,3,0,2,2,0,1,3,3,0,2,2,-7.703734742577547,27829
2,2,3,0,2,3,0,2,1,0,1,3,3,0,0,2,-5.312006196284219,28560
2,2,1,2,0,2,2,2,2,1,0,3,3,0,3,0,-6.428904099300542,28611
0,3,0,3,0,2,0,1,0,0,3,2,3,1,0,2,-6.417297771864941,29327
0,0,2,0,0,3,2,2,1,3,3,2,3,0,0,2,-5.071768914438279,30005
2,0,3,3,2,3,0,2,2,0,1,3,3,0,2,2,-7.830905584637066,30678
2,2,3,3,2,3,0,2,2,0,1,3,3,0,1,2,-7.703734742577547,31377
2,0,3,3,2,3,0,3,2,0,1,3,3,0,1,2,-6.799063117162158,32080
2,0,3,3,2,1,0,2,2,0,0,3,0,0,2,3,-6.367560694390155,32799
2,0,3,3,2,3,3,2,0,0,1,3,3,0,1,2,-2.055224993881629,33471
2,0,3,3,2,3,0,2,2,0,1,0,1,0,2,0,-7.767320141888962,34170
2,0,3,3,2,3,1,2,2,0,1,3,3,0,2,0,-6.367560694390155,34891
2,0,3,3,2,3,0,2,2,0,3,0,1,0,2,2,-5.335718227344707,35623
2,1,3,3,2,3,0,2,2,0,0,0,1,0,2,0,-6.385710598473919,36299
2,0,3,3,1,3,0,2,0,0,1,1,3,0,2,2,-4.59844262208033,37029
2,2,3,3,2,3,0,2,2,2,1,3,3,0,2,2,-7.830905584637066,37747
2,0,3,3,2,3,0,2,2,0,1,3,2,0,1,1,-7.830905584637066,38478
2,2,3,3,0,3,0,2,2,2,1,2,3,0,2,3,-7.767320163607305,39195
2,0,3,3,2,3,0,2,2,1,1,3,2,0,0,1,-7.767320141888961,39916
3,0,3,3,2,3,0,2,2,3,1,0,3,0,3,2,-6.444817903373814,40660
2,0,3,0,2,1,0,2,2,0,1,0,3,0,2,0,-6.556105560015245,41362
2,0,3,3,1,3,0,2,2,1,1,1,2,0,2,2,-7.389945615636192,42107
2,0,3,3,2,3,0,2,3,1,1,3,2,0,0,1,-6.556105560015245,42834
1,2,3,3,0,3,0,2,2,2,1,3,3,0,0,2,-6.799063117591617,43554
2,1,3,3,2,3,0,2,2,2,1,3,3,2,2,2,-7.767320163607306,44298
0,3,2,1,3,3,1,3,1,1,3,2,0,1,3,1,-4.7832235862226735,44356
