x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
3,1,3,2,2,2,3,2,3,3,0,0,0,3,3,3,2,0,2,2,3,1,0,0,-0.37097178352973864,1369
1,2,1,0,2,1,2,0,1,1,1,3,2,1,1,0,2,0,1,0,2,2,3,0,-0.7984085399572325,1386
0,2,2,0,2,0,2,0,1,1,3,0,2,1,3,2,1,2,3,2,3,2,3,1,-0.7396255427475766,1402
2,2,1,3,0,2,1,1,1,1,0,2,3,1,3,2,2,2,2,1,2,1,2,1,-0.7396260875839769,1418
3,2,2,3,2,3,0,2,3,2,0,0,1,1,1,2,3,1,3,3,2,0,1,0,-0.4958848867029625,1435
1,2,3,0,2,3,1,0,0,0,0,0,3,0,2,0,1,0,2,0,2,3,3,2,-0.2050589903765344,1449
0,0,2,0,1,3,3,1,3,2,2,1,3,3,1,0,3,1,2,0,0,2,0,2,-0.4284679695754423,1464
3,1,0,1,1,3,2,0,3,3,1,1,1,3,3,0,0,3,1,0,0,3,1,0,-0.7275957726536071,1480
1,2,3,0,0,3,1,1,1,2,0,2,0,3,2,1,0,0,1,2,2,0,0,0,-0.42846824684224916,1495
3,1,3,3,2,3,0,0,0,0,1,3,1,0,3,2,2,0,2,2,0,2,1,0,-1.1512708679530343,1511
0,1,3,0,1,3,2,2,1,2,1,0,2,0,2,1,3,2,0,1,2,0,3,2,-1.0267235757317719,1527
0,3,2,1,1,2,1,3,3,1,2,1,0,1,0,3,2,1,2,1,0,2,3,0,-0.3709717835297386,1543
3,0,2,2,2,3,1,3,0,2,2,1,2,2,2,1,3,3,0,0,3,3,3,1,-0.6964094313428484,1559
3,2,3,0,1,2,1,2,3,3,0,3,1,0,1,3,3,3,1,1,0,3,2,2,-0.7587821139643658,1576
1,2,0,1,0,1,3,2,1,0,3,1,1,1,1,2,2,3,0,2,3,0,0,1,-0.6964099761792488,1592
2,3,0,3,0,1,1,0,0,2,0,0,3,2,0,2,1,3,2,1,2,1,3,1,-0.4382206854602628,1608
2,1,1,0,0,0,0,1,2,2,0,0,1,2,1,1,3,2,0,2,3,0,0,1,-0.6688127754439511,1622
1,0,1,2,0,1,3,3,2,0,3,3,2,1,3,3,0,0,0,0,3,1,2,2,-0.49571714877277345,1637
2,1,3,2,3,2,3,3,0,2,0,1,2,1,2,0,3,0,2,2,2,1,1,2,-0.6843796612488791,1654
2,1,2,2,2,2,2,3,0,2,0,0,1,2,3,0,2,1,0,0,2,2,1,0,-1.2674077077007921,1669
3,0,1,0,0,1,0,2,2,3,1,0,0,0,0,1,1,1,3,0,0,0,3,2,-0.7275957726536071,1684
3,2,0,3,2,3,0,3,0,2,3,2,0,1,3,3,2,0,2,0,3,1,0,1,-1.0218470791559582,1699
0,3,2,2,1,1,1,2,1,2,1,2,3,1,0,1,3,0,0,2,1,0,0,0,-0.6531938647745205,1714
0,1,2,3,2,1,3,2,3,2,0,1,0,3,2,2,3,3,2,0,1,1,1,1,-0.7910834010019474,1731
2,0,0,2,0,1,2,1,3,0,2,0,3,3,2,0,0,0,2,2,1,3,0,1,-0.08501586633589589,1745
3,1,3,0,0,0,3,3,2,1,3,2,2,3,3,1,1,2,0,0,2,3,2,1,-0.42846739464243816,1761
0,3,2,2,1,0,3,1,1,3,1,1,3,1,2,0,2,1,0,1,0,3,1,3,-0.4382206854602628,1777
0,3,2,3,2,2,0,2,2,3,0,1,2,0,2,1,3,1,3,2,3,0,0,1,-0.6808435080168074,1794
0,0,3,1,0,2,2,1,3,0,1,0,2,1,2,1,2,1,3,3,1,3,3,2,-0.4284679695754423,1810
1,1,3,0,1,1,3,1,0,0,0,2,2,0,3,2,1,3,0,0,0,3,3,2,-0.7467517990339958,1825
3,1,3,3,1,0,3,2,1,2,3,2,0,1,1,0,3,2,2,3,3,2,2,1,-0.433344466151256,1842
2,3,3,1,3,3,0,3,0,3,3,0,2,0,2,0,0,2,2,2,2,1,0,0,-0.4284679695754423,1857
2,3,1,0,2,3,1,1,1,3,0,0,3,3,2,2,0,1,2,2,1,2,2,3,-0.8173926592805479,1873
2,0,2,0,0,3,2,0,3,0,2,2,2,3,0,0,0,2,3,0,0,2,3,1,-1.2693463982883164,1887
2,0,2,1,2,3,3,1,1,0,1,2,1,3,1,1,3,0,1,3,1,0,2,3,-1.0218470791559582,1904
2,2,3,2,0,0,3,0,2,1,1,1,1,3,0,0,0,2,0,0,0,3,2,3,-1.0267235757317719,1919
3,3,0,1,3,1,0,3,1,0,3,3,1,3,1,3,0,3,3,1,1,2,0,1,-1.0218470791559582,1936
1,0,3,0,3,3,3,2,0,1,0,3,2,3,3,1,1,0,1,3,0,3,3,3,-0.6932110968960011,1952
3,2,3,3,2,3,1,0,1,2,1,3,3,1,0,1,2,3,0,3,0,1,2,0,-0.7672218111005912,1968
0,3,0,0,0,3,0,3,0,1,2,2,1,1,2,3,2,0,2,0,1,0,3,0,-0.3803483142665605,1982
0,0,2,2,2,3,2,0,0,1,2,3,1,0,3,3,3,2,0,3,2,2,2,2,-0.6689846825010245,1998
1,3,0,1,0,0,3,2,1,0,0,0,3,3,1,0,2,1,1,2,3,2,1,2,-0.7587815691279653,2013
1,1,0,2,0,2,0,3,1,1,0,1,3,3,0,2,2,0,2,0,1,1,2,0,-0.43334446615125605,2028
1,2,2,3,3,2,0,0,3,2,0,2,2,1,3,0,3,0,3,3,2,0,2,2,-0.8924232903588819,2045
0,2,0,0,0,2,1,1,0,0,1,2,1,3,0,2,0,0,2,3,3,2,0,0,-0.4382206854602629,2112
3,2,3,3,1,2,3,0,1,3,2,1,0,1,2,1,1,0,1,0,3,0,3,0,-0.6964099761792488,2128
2,1,1,3,2,2,2,3,0,3,0,1,3,3,1,0,2,3,0,2,3,0,1,2,-0.7910834010019474,2144
1,2,3,1,1,0,0,0,2,0,3,3,0,2,1,3,0,1,1,0,0,2,3,3,-1.0218470791559582,2159
2,3,0,3,3,2,3,0,2,2,3,3,0,1,1,2,2,2,1,0,1,0,0,1,-0.4284679695754423,2175
2,3,3,2,2,1,2,3,0,1,1,1,0,2,3,3,0,0,1,2,1,3,3,2,-0.7813303662303759,2191
1,2,2,3,0,1,2,3,2,0,0,1,3,0,0,3,3,3,2,1,3,0,3,0,-1.0218470791559582,2207
2,3,2,1,3,3,3,2,0,2,2,2,2,1,2,3,0,2,1,1,3,1,1,2,-0.4044084293875036,2224
1,2,1,1,3,2,1,1,3,1,2,3,3,3,2,1,1,2,3,1,2,3,3,3,-0.6689843636142736,2242
3,3,2,0,2,1,2,2,0,1,2,3,0,2,1,3,0,2,1,2,2,0,0,1,-0.7708113392219349,2258
0,1,2,0,0,1,1,3,0,3,1,3,3,0,2,0,1,3,3,0,1,1,0,2,-0.43334446615125605,2273
